frame,tc_in,tc_out,duration_s,plate,year,era
1,00:00:00.000,00:00:04.000,4,A,"1700","Marshland"
2,00:00:04.000,00:00:12.000,8,A,"1790","The Parade Ground"
3,00:00:12.000,00:00:20.000,8,A,"1850","Königsplatz"
4,00:00:20.000,00:00:28.000,8,A,"1871","The Empire"
5,00:00:28.000,00:00:36.000,8,A,"1873","The Victory Column"
6,00:00:36.000,00:00:44.000,8,A,"1877","The Old Palace"
7,00:00:44.000,00:00:52.000,8,A,"1884","Foundations"
8,00:00:52.000,00:01:00.000,8,A,"1886","The First Courses"
9,00:01:00.000,00:01:08.000,8,A,"1888","Walls Rising"
10,00:01:08.000,00:01:16.000,8,A,"1891","The Shell"
11,00:01:16.000,00:01:24.000,8,A,"1894","Finished"
12,00:01:24.000,00:01:32.000,8,A,"1898","The Square Laid Out"
13,00:01:32.000,00:01:40.000,8,A,"1900","The Empire at Its Height"
14,00:01:40.000,00:01:48.000,8,A,"1902","First Motor Cars"
15,00:01:48.000,00:01:56.000,8,A,"1906","The Horse Tram"
16,00:01:56.000,00:02:04.000,8,A,"1910","Electric Trams"
17,00:02:04.000,00:02:12.000,8,A,"1914","Mobilisation"
18,00:02:12.000,00:02:20.000,8,A,"1916","The Inscription"
19,00:02:20.000,00:02:28.000,8,A,"1918","The Republic"
20,00:02:28.000,00:02:36.000,8,A,"1919","Black, Red, Gold"
21,00:02:36.000,00:02:44.000,8,A,"1923","Hard Times"
22,00:02:44.000,00:02:52.000,8,A,"1926","The Twenties"
23,00:02:52.000,00:03:00.000,8,A,"1930","Depression"
24,00:03:00.000,00:03:08.000,8,A,"1933","The Fire"
25,00:03:08.000,00:03:16.000,8,A,"1934","Burnt Out"
26,00:03:16.000,00:03:24.000,8,A,"1937","Empty"
27,00:03:24.000,00:03:32.000,8,A,"1939","The Column Is Gone"
28,00:03:32.000,00:03:40.000,8,A,"1941","Blackout"
29,00:03:40.000,00:03:48.000,8,A,"1944","Bomb Damage"
30,00:03:48.000,00:03:56.000,8,A,"1945","The Battle"
31,00:03:56.000,00:04:04.000,8,A,"1945","The Flag on the Roof"
32,00:04:04.000,00:04:12.000,8,A,"1945","The Ruin in Daylight"
33,00:04:12.000,00:04:20.000,8,A,"1946","Vegetable Gardens"
34,00:04:20.000,00:04:28.000,8,A,"1948","The Great Rally"
35,00:04:28.000,00:04:36.000,8,A,"1951","Clearing"
36,00:04:36.000,00:04:44.000,8,A,"1954","The Dome Comes Down"
37,00:04:44.000,00:04:52.000,8,A,"1957","The Bare Ruin"
38,00:04:52.000,00:05:00.000,8,A,"1961","The Wall"
39,00:05:00.000,00:05:08.000,8,A,"1964","Reconstruction"
40,00:05:08.000,00:05:16.000,8,A,"1967","Halfway"
41,00:05:16.000,00:05:24.000,8,A,"1971","Reopened"
42,00:05:24.000,00:05:32.000,8,A,"1976","The Death Strip"
43,00:05:32.000,00:05:40.000,8,A,"1982","Graffiti"
44,00:05:40.000,00:05:48.000,8,A,"1987","Anniversary"
45,00:05:48.000,00:05:56.000,8,A,"1989","The Wall Falls"
46,00:05:56.000,00:06:04.000,8,A,"1990","Reunification"
47,00:06:04.000,00:06:12.000,8,A,"1991","The Wall Comes Down"
48,00:06:12.000,00:06:20.000,8,A,"1993","The Scar"
49,00:06:20.000,00:06:28.000,8,A,"1995","Wrapped"
50,00:06:28.000,00:06:36.000,8,A,"1995","Unwrapped"
51,00:06:36.000,00:06:44.000,8,A,"1997","Rebuilding"
52,00:06:44.000,00:06:52.000,8,A,"1999","The Glass Dome"
53,00:06:52.000,00:07:00.000,8,A,"2001","The Queue"
54,00:07:00.000,00:07:08.000,8,A,"2005","The Government Quarter"
55,00:07:08.000,00:07:16.000,8,A,"2006","The Fan Zone"
56,00:07:16.000,00:07:24.000,8,A,"2010","Solar and Cycles"
57,00:07:24.000,00:07:32.000,8,A,"2015","Full Season"
58,00:07:32.000,00:07:40.000,8,A,"2020","Empty"
59,00:07:40.000,00:07:48.000,8,A,"2023","Life Returns"
60,00:07:48.000,00:07:56.000,8,A,"2026","Present Day"
