frame,tc_in,tc_out,duration_s,plate,year,era_en,era_pl,catastrophe
1,00:00:00.000,00:00:04.000,4,A,"8000 BC","Ice Age Valley","Dolina polodowcowa",
2,00:00:04.000,00:00:12.000,8,A,"3000 BC","Primeval Forest","Puszcza pierwotna",
3,00:00:12.000,00:00:20.000,8,A,"1500 BC","First Clearing","Pierwsza polana",
4,00:00:20.000,00:00:28.000,8,A,"700 BC","Lusatian Settlement","Osada łużycka",
5,00:00:28.000,00:00:36.000,8,A,"100 AD","The Amber Route","Szlak bursztynowy",
6,00:00:36.000,00:00:44.000,8,A,"400","Abandoned","Opuszczona",
7,00:00:44.000,00:00:52.000,8,A,"700","Slavic Settlement","Osada słowiańska",
8,00:00:52.000,00:01:00.000,8,A,"900","The Stronghold","Gród",
9,00:01:00.000,00:01:08.000,8,A,"1000","The First Cross","Pierwszy krzyż",
10,00:01:08.000,00:01:16.000,8,A,"1100","The Bridge","Most",
11,00:01:16.000,00:01:24.000,8,A,"1180","The Mill","Młyn",
12,00:01:24.000,00:01:32.000,8,A,"1230","Jazdów","Jazdów",
13,00:01:32.000,00:01:40.000,8,A,"1262","Raided","Najazd",
14,00:01:40.000,00:01:48.000,8,A,"1281","Burnt Again","Znów spalony",yes
15,00:01:48.000,00:01:56.000,8,A,"1300","Warszowa","Warszowa",
16,00:01:56.000,00:02:04.000,8,A,"1330","Town Charter","Prawa miejskie",
17,00:02:04.000,00:02:12.000,8,A,"1350","First Brick","Pierwsza cegła",
18,00:02:12.000,00:02:20.000,8,A,"1370","The Town Walls","Mury miejskie",
19,00:02:20.000,00:02:28.000,8,B,"1380","Brick Town","Miasto z cegły",
20,00:02:28.000,00:02:36.000,8,B,"1400","The Collegiate","Kolegiata",
21,00:02:36.000,00:02:44.000,8,B,"1408","New Town","Nowe Miasto",
22,00:02:44.000,00:02:52.000,8,B,"1413","Capital of Masovia","Stolica Mazowsza",
23,00:02:52.000,00:03:00.000,8,B,"1450","Gothic","Gotyk",
24,00:03:00.000,00:03:08.000,8,B,"1480","The Barbican","Barbakan",
25,00:03:08.000,00:03:16.000,8,B,"1526","Into the Crown","Wcielenie do Korony",
26,00:03:16.000,00:03:24.000,8,B,"1550","Renaissance","Renesans",
27,00:03:24.000,00:03:32.000,8,B,"1569","The Sejm","Sejm walny",
28,00:03:32.000,00:03:40.000,8,B,"1573","The Confederation","Konfederacja warszawska",
29,00:03:40.000,00:03:48.000,8,B,"1596","The Court Arrives","Przeniesienie dworu",
30,00:03:48.000,00:03:56.000,8,B,"1611","Royal Residence","Rezydencja królewska",
31,00:03:56.000,00:04:04.000,8,B,"1620","Baroque","Barok",
32,00:04:04.000,00:04:12.000,8,B,"1637","Expansion","Rozbudowa",
33,00:04:12.000,00:04:20.000,8,B,"1644","The Column","Kolumna Zygmunta",
34,00:04:20.000,00:04:28.000,8,B,"1650","Golden Age","Złoty wiek",
35,00:04:28.000,00:04:36.000,8,C,"1655","The Deluge","Potop szwedzki",yes
36,00:04:36.000,00:04:44.000,8,C,"1660","Empty","Miasto puste",
37,00:04:44.000,00:04:52.000,8,C,"1680","Slow Rebuild","Powolna odbudowa",
38,00:04:52.000,00:05:00.000,8,C,"1700","Baroque Restored","Barok odbudowany",
39,00:05:00.000,00:05:08.000,8,C,"1720","The Saxon Era","Czasy saskie",
40,00:05:08.000,00:05:16.000,8,C,"1740","The Lime Tree","Lipa na rynku",
41,00:05:16.000,00:05:24.000,8,C,"1764","Enlightenment","Oświecenie",
42,00:05:24.000,00:05:32.000,8,C,"1780","Neoclassical","Klasycyzm",
43,00:05:32.000,00:05:40.000,8,C,"1791","Constitution Day","Konstytucja 3 maja",
44,00:05:40.000,00:05:48.000,8,C,"1794","Kościuszko Uprising","Insurekcja kościuszkowska",
45,00:05:48.000,00:05:56.000,8,C,"1795","The Third Partition","III rozbiór",
46,00:05:56.000,00:06:04.000,8,C,"1807","Duchy of Warsaw","Księstwo Warszawskie",
47,00:06:04.000,00:06:12.000,8,C,"1815","Congress Kingdom","Królestwo Kongresowe",
48,00:06:12.000,00:06:20.000,8,C,"1831","November Uprising","Powstanie listopadowe",
49,00:06:20.000,00:06:28.000,8,C,"1866","Horse Trams","Tramwaj konny",
50,00:06:28.000,00:06:36.000,8,C,"1890","Tenements","Kamienice",
51,00:06:36.000,00:06:44.000,8,D,"1900","Belle Époque","Belle Époque",
52,00:06:44.000,00:06:52.000,8,D,"1908","Electric Trams","Tramwaj elektryczny",
53,00:06:52.000,00:07:00.000,8,D,"1914","War Begins","Wybuch wojny",
