clip,from_frame,to_frame,clip_in,clip_out,switch_at,year_before,year_after,era_after
1,1,2,00:00:00.000,00:00:08.000,00:00:06.400,"1800","1840","The Farm"
2,2,3,00:00:08.000,00:00:16.000,00:00:14.400,"1840","1860","The Grid Arrives"
3,3,4,00:00:16.000,00:00:24.000,00:00:22.400,"1860","1872","Longacre Square"
4,4,5,00:00:24.000,00:00:32.000,00:00:30.400,"1872","1880","Horsecars"
5,5,6,00:00:32.000,00:00:40.000,00:00:38.400,"1880","1888","The Carriage Trade"
6,6,7,00:00:40.000,00:00:48.000,00:00:46.400,"1888","1895","The First Theatre"
7,7,8,00:00:48.000,00:00:56.000,00:00:54.400,"1895","1899","The Hotel on the Triangle"
8,8,9,00:00:56.000,00:01:04.000,00:01:02.400,"1899","1903","Digging"
9,9,10,00:01:04.000,00:01:12.000,00:01:10.400,"1903","1904","The Tower"
10,10,11,00:01:12.000,00:01:20.000,00:01:18.400,"1904","1905","The Subway"
11,11,12,00:01:20.000,00:01:28.000,00:01:26.400,"1905","1907","The First Ball"
12,12,13,00:01:28.000,00:01:36.000,00:01:34.400,"1907","1910","Electric Signs"
13,13,14,00:01:36.000,00:01:44.000,00:01:42.400,"1910","1913","Automobiles"
14,14,15,00:01:44.000,00:01:52.000,00:01:50.400,"1913","1917","Wartime"
15,15,16,00:01:52.000,00:02:00.000,00:01:58.400,"1917","1920","Prohibition"
16,16,17,00:02:00.000,00:02:08.000,00:02:06.400,"1920","1923","The Great White Way"
17,17,18,00:02:08.000,00:02:16.000,00:02:14.400,"1923","1925","Peak Bulbs"
18,18,19,00:02:16.000,00:02:24.000,00:02:22.400,"1925","1928","The Zipper"
19,19,20,00:02:24.000,00:02:32.000,00:02:30.400,"1928","1929","The Crash"
20,20,21,00:02:32.000,00:02:40.000,00:02:38.400,"1929","1931","Burlesque"
21,21,22,00:02:40.000,00:02:48.000,00:02:46.400,"1931","1934","Grind Houses"
22,22,23,00:02:48.000,00:02:56.000,00:02:54.400,"1934","1937","Swing"
23,23,24,00:02:56.000,00:03:04.000,00:03:02.400,"1937","1939","The Fair Year"
24,24,25,00:03:04.000,00:03:12.000,00:03:10.400,"1939","1942","The Dimout"
25,25,26,00:03:12.000,00:03:20.000,00:03:18.400,"1942","1944","Wartime Crowd"
26,26,27,00:03:20.000,00:03:28.000,00:03:26.400,"1944","1945","The Lights Come Back"
27,27,28,00:03:28.000,00:03:36.000,00:03:34.400,"1945","1947","Postwar"
28,28,29,00:03:36.000,00:03:44.000,00:03:42.400,"1947","1950","Neon"
29,29,30,00:03:44.000,00:03:52.000,00:03:50.400,"1950","1953","Bigger Boards"
30,30,31,00:03:52.000,00:04:00.000,00:03:58.400,"1953","1956","Cinemascope"
31,31,32,00:04:00.000,00:04:08.000,00:04:06.400,"1956","1959","Chrome"
32,32,33,00:04:08.000,00:04:16.000,00:04:14.400,"1959","1962","Stripped"
33,33,34,00:04:16.000,00:04:24.000,00:04:22.400,"1962","1964","White Marble"
34,34,35,00:04:24.000,00:04:32.000,00:04:30.400,"1964","1967","Fraying"
35,35,36,00:04:32.000,00:04:40.000,00:04:38.400,"1967","1970","Grind"
36,36,37,00:04:40.000,00:04:48.000,00:04:46.400,"1970","1973","The Low Point"
37,37,38,00:04:48.000,00:04:56.000,00:04:54.400,"1973","1977","Blackout Summer"
38,38,39,00:04:56.000,00:05:04.000,00:05:02.400,"1977","1980","Bottom"
39,39,40,00:05:04.000,00:05:12.000,00:05:10.400,"1980","1984","Hoardings"
40,40,41,00:05:12.000,00:05:20.000,00:05:18.400,"1984","1988","Demolition"
41,41,42,00:05:20.000,00:05:28.000,00:05:26.400,"1988","1991","Empty Lots"
42,42,43,00:05:28.000,00:05:36.000,00:05:34.400,"1991","1994","Cleanup"
43,43,44,00:05:36.000,00:05:44.000,00:05:42.400,"1994","1997","The Theatres Return"
44,44,45,00:05:44.000,00:05:52.000,00:05:50.400,"1997","1999","Screens On The Tower"
45,45,46,00:05:52.000,00:06:00.000,00:05:58.400,"1999","2001","Millennium Bright"
46,46,47,00:06:00.000,00:06:08.000,00:06:06.400,"2001","2004","Full Colour"
47,47,48,00:06:08.000,00:06:16.000,00:06:14.400,"2004","2007","The Canyon"
48,48,49,00:06:16.000,00:06:24.000,00:06:22.400,"2007","2009","Chairs In The Road"
49,49,50,00:06:24.000,00:06:32.000,00:06:30.400,"2009","2012","The Plazas"
50,50,51,00:06:32.000,00:06:40.000,00:06:38.400,"2012","2016","Wraparound"
51,51,52,00:06:40.000,00:06:48.000,00:06:46.400,"2016","2019","Peak Crowd"
52,52,53,00:06:48.000,00:06:56.000,00:06:54.400,"2019","2020","Empty"
53,53,54,00:06:56.000,00:07:04.000,00:07:02.400,"2020","2022","Coming Back"
54,54,55,00:07:04.000,00:07:12.000,00:07:10.400,"2022","2024","Normal"
55,55,56,00:07:12.000,00:07:20.000,00:07:18.400,"2024","2026","Present Day"
56,56,57,00:07:20.000,00:07:28.000,00:07:26.400,"2026","2040","Layers of Light"
57,57,58,00:07:28.000,00:07:36.000,00:07:34.400,"2040","2055","The Green Canyon"
58,58,59,00:07:36.000,00:07:44.000,00:07:42.400,"2055","2070","The Screens Go Dark"
59,59,60,00:07:44.000,00:07:52.000,00:07:50.400,"2070","2075","The Last Frame"
